,shallow_preds,svm_preds,gbc_preds,lr_preds,deep_preds,sgdc_preds,mean,signal,entry/exit,close,position,entry/exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2021-10-29 00:00:00+00:00,0.0,0,0,0,0.0,0,0.0,0.0,0.0,4337.39,0.0,0.0,0.0,36000.0,36000.0,,
2021-10-30 00:00:00+00:00,-0.96045303,1,-1,-1,-0.5944335,-1,-0.5924810866514841,-1.0,-1.0,4370.58,-9.22,-9.22,-40296.75,76296.75,36000.0,0.0,1.0
2021-10-31 00:00:00+00:00,-0.97804284,-1,-1,-1,-0.78637505,-1,-0.9607363144556681,-1.0,0.0,4230.58,-9.22,0.0,-39005.95,76296.75,37290.8,0.0359,1.0359
2021-11-01 00:00:00+00:00,-0.9277989,1,-1,1,-0.771908,-1,-0.2832844853401184,0.0,1.0,4366.37,0.0,9.22,0.0,36038.82,36038.82,-0.0336,1.0011
2021-11-02 00:00:00+00:00,-0.9279876,-1,-1,-1,-0.4819111,-1,-0.9016497780879339,-1.0,-1.0,4542.43,-9.22,-9.22,-41881.2,77920.01999999999,36038.82,0.0,1.0011
2021-11-03 00:00:00+00:00,-0.9425066,-1,-1,-1,-0.6396173,-1,-0.930353989203771,-1.0,0.0,4581.53,-9.22,0.0,-42241.71,77920.01999999999,35678.31,-0.01,0.9911
2021-11-04 00:00:00+00:00,-0.96742505,1,-1,1,-0.7908,-1,-0.2930375039577484,0.0,1.0,4455.17,0.0,9.22,0.0,36843.35,36843.35,0.0327,1.0235
2021-11-05 00:00:00+00:00,-0.9798439,1,-1,-1,-0.76264834,-1,-0.6237487097581228,-1.0,-1.0,4498.46,-9.22,-9.22,-41475.8,78319.15,36843.35,0.0,1.0235
2021-11-06 00:00:00+00:00,-0.82374215,-1,-1,1,-0.7203893,1,-0.2573552429676056,0.0,1.0,4553.92,0.0,9.22,0.0,36332.01,36332.01,-0.0139,1.0093
2021-11-07 00:00:00+00:00,-0.9487927,-1,-1,-1,-0.5280995,-1,-0.9128153622150421,-1.0,-1.0,4723.23,-9.22,-9.22,-43548.18,79880.19,36332.01,0.0,1.0093
2021-11-08 00:00:00+00:00,-0.95270187,-1,-1,-1,-0.69187486,-1,-0.9407627880573273,-1.0,0.0,4828.79,-9.22,0.0,-44521.44,79880.19,35358.75,-0.0268,0.9822
2021-11-09 00:00:00+00:00,-0.9767677,-1,-1,-1,-0.7956492,-1,-0.9620694816112518,-1.0,0.0,4702.01,-9.22,0.0,-43352.53,79880.19,36527.66,0.0331,1.0147
2021-11-10 00:00:00+00:00,-0.98512435,1,-1,1,-0.8372478,-1,-0.3037286897500356,-1.0,0.0,4657.46,-9.22,0.0,-42941.78,79880.19,36938.41,0.0112,1.0261
2021-11-11 00:00:00+00:00,-0.95670974,-1,-1,1,-0.72733265,-1,-0.6140070656935374,-1.0,0.0,4741.06,-9.22,0.0,-43712.57,79880.19,36167.62,-0.0209,1.0046
2021-11-12 00:00:00+00:00,-0.99030304,-1,-1,-1,-0.85089517,-1,-0.973533034324646,-1.0,0.0,4619.01,-9.22,0.0,-42587.27,79880.19,37292.92,0.0311,1.0359
2021-11-13 00:00:00+00:00,-0.9591321,-1,-1,-1,-0.8476736,-1,-0.9678009450435638,-1.0,0.0,4642.57,-9.22,0.0,-42804.5,79880.19,37075.69,-0.0058,1.0299
2021-11-14 00:00:00+00:00,-0.9166535,-1,-1,1,-0.69883865,1,-0.26924869418144226,0.0,1.0,4694.27,0.0,9.22,0.0,36599.02,36599.02,-0.0129,1.0166
2021-11-15 00:00:00+00:00,-0.90388477,-1,-1,-1,-0.91754633,-1,-0.9702385167280833,-1.0,-1.0,4339.94,-9.22,-9.22,-40014.25,76613.26999999999,36599.02,0.0,1.0166
2021-11-16 00:00:00+00:00,-0.9775002,-1,-1,-1,-0.9233042,-1,-0.9834674000740051,-1.0,0.0,4177.85,-9.22,0.0,-38519.78,76613.26999999999,38093.49,0.0408,1.0581
2021-11-17 00:00:00+00:00,-0.98050153,-1,-1,-1,-0.43372023,-1,-0.90237029393514,-1.0,0.0,4259.3,-9.22,0.0,-39270.75,76613.26999999999,37342.52,-0.0197,1.0372
2021-11-18 00:00:00+00:00,-0.84197134,1,-1,-1,-0.6381569,-1,-0.5800213714440664,-1.0,0.0,4080.77,-9.22,0.0,-37624.7,76613.26999999999,38988.57,0.0441,1.083
2021-11-19 00:00:00+00:00,-0.9758508,-1,-1,-1,-0.35258895,-1,-0.8880732953548431,-1.0,0.0,4281.04,-9.22,0.0,-39471.19,76613.26999999999,37142.08,-0.0474,1.0316
2021-11-20 00:00:00+00:00,-0.9673878,-1,-1,-1,-0.6201434,-1,-0.9312552014986674,-1.0,0.0,4369.97,-9.22,0.0,-40291.12,76613.26999999999,36322.15,-0.0221,1.0088
2021-11-21 00:00:00+00:00,-0.9812954,-1,-1,-1,-0.6967735,-1,-0.9463448226451874,-1.0,0.0,4185.49,-9.22,0.0,-38590.22,76613.26999999999,38023.05,0.0468,1.0561
2021-11-22 00:00:00+00:00,-0.9641939,1,-1,1,-0.6616569,-1,-0.27097513278325397,0.0,1.0,4157.07,0.0,9.22,0.0,38285.08,38285.08,0.0069,1.0633
2021-11-23 00:00:00+00:00,-0.6972821,-1,-1,-1,-0.696637,-1,-0.8989865084489187,-1.0,-1.0,4269.73,-9.22,-9.22,-39366.91,77652.0,38285.09,0.0,1.0633
2021-11-24 00:00:00+00:00,-0.9567222,-1,-1,-1,-0.42422432,-1,-0.8968244194984436,-1.0,0.0,4278.43,-9.22,0.0,-39447.12,77652.0,38204.88,-0.0021,1.0611
2021-11-25 00:00:00+00:00,-0.7437671,-1,-1,-1,-0.36191696,-1,-0.8509473403294882,-1.0,0.0,4433.87,-9.22,0.0,-40880.28,77652.0,36771.72,-0.0375,1.0213
2021-11-26 00:00:00+00:00,-0.91746056,-1,-1,1,-0.8359474,1,-0.2922346591949463,0.0,1.0,4093.12,0.0,9.22,0.0,39913.43,39913.43,0.0854,1.1085
2021-11-27 00:00:00+00:00,0.12622653,-1,-1,-1,-0.8719315,-1,-0.7909508273005486,-1.0,-1.0,4056.74,-9.22,-9.22,-37403.14,77316.57,39913.43,0.0,1.1085
2021-11-28 00:00:00+00:00,-0.9799117,-1,-1,-1,-0.6075032,-1,-0.9312358101209005,-1.0,0.0,4325.77,-9.22,0.0,-39883.6,77316.57,37432.97,-0.0621,1.0397
2021-11-29 00:00:00+00:00,-0.47927156,-1,-1,1,-0.30889323,1,-0.13136079907417297,0.0,1.0,4389.78,0.0,9.22,0.0,36842.8,36842.8,-0.0158,1.0233
2021-11-30 00:00:00+00:00,0.07916298,-1,-1,1,-0.7097457,1,-0.10509712124864261,0.0,0.0,4707.74,0.0,0.0,0.0,36842.8,36842.8,0.0,1.0233
2021-12-01 00:00:00+00:00,-0.8397935,1,-1,1,-0.8460225,1,0.05236400167147318,0.0,0.0,4528.57,0.0,0.0,0.0,36842.8,36842.8,0.0,1.0233
2021-12-02 00:00:00+00:00,-0.9876418,1,-1,-1,-0.81499237,-1,-0.6337723632653555,-1.0,-1.0,4573.25,-9.22,-9.22,-42165.37,79008.17,36842.8,0.0,1.0233
2021-12-03 00:00:00+00:00,-0.37639123,-1,-1,-1,-0.9971062,-1,-0.8955829044183096,-1.0,0.0,3783.89,-9.22,0.0,-34887.47,79008.17,44120.7,0.1975,1.2254
2021-12-04 00:00:00+00:00,-0.9951656,-1,-1,-1,-0.5804054,-1,-0.9292618334293365,-1.0,0.0,4209.07,-9.22,0.0,-38807.63,79008.17,40200.54,-0.0889,1.1164
2021-12-05 00:00:00+00:00,-0.8442864,-1,-1,-1,-0.619301,-1,-0.9105979005495707,-1.0,0.0,4140.04,-9.22,0.0,-38171.17,79008.17,40837.0,0.0158,1.1341
2021-12-06 00:00:00+00:00,-0.9853204,-1,-1,-1,-0.11496441,-1,-0.8500474666555723,-1.0,0.0,4350.02,-9.22,0.0,-40107.18,79008.17,38900.99,-0.0474,1.0803
2021-12-07 00:00:00+00:00,-0.7875145,-1,-1,1,-0.73193836,1,-0.2532421449820201,0.0,1.0,4329.11,0.0,9.22,0.0,39093.77,39093.77,0.005,1.0857
2021-12-08 00:00:00+00:00,-0.9764521,1,-1,-1,-0.55255395,-1,-0.5881676773230234,-1.0,-1.0,4393.18,-9.22,-9.22,-40505.12,79598.89,39093.77,0.0,1.0857
2021-12-09 00:00:00+00:00,-0.8159406,-1,-1,-1,-0.93524057,-1,-0.958530197540919,-1.0,0.0,4122.11,-9.22,0.0,-38005.85,79598.89,41593.04,0.0639,1.1551
2021-12-10 00:00:00+00:00,-0.6605623,1,1,1,-0.83253473,1,0.4178171654542287,1.0,2.0,4033.17,9.22,18.44,37185.83,5227.240000000002,42413.07,0.0197,1.1778
2021-12-11 00:00:00+00:00,-0.9785437,-1,-1,-1,-0.78622466,-1,-0.960794727007548,-1.0,-2.0,4040.1,-9.22,-18.44,-37249.72,79726.68,42476.96,0.0015,1.1796
2021-12-12 00:00:00+00:00,-0.93660367,-1,-1,-1,-0.61295736,-1,-0.9249268372853597,-1.0,0.0,4041.56,-9.22,0.0,-37263.18,79726.68,42463.5,-0.0003,1.1793
2021-12-13 00:00:00+00:00,-0.79960024,1,-1,1,-0.80064785,1,0.06662531693776448,0.0,1.0,3736.85,0.0,9.22,0.0,45272.92,45272.92,0.0662,1.2573
2021-12-14 00:00:00+00:00,-0.95753086,-1,-1,-1,-0.3313222,-1,-0.8814755082130432,-1.0,-1.0,3853.12,-9.22,-9.22,-35525.77,80798.69,45272.92,0.0,1.2573
2021-12-15 00:00:00+00:00,-0.8081279,-1,-1,-1,-0.42986932,-1,-0.8729995340108871,-1.0,0.0,3986.58,-9.22,0.0,-36756.27,80798.69,44042.42,-0.0272,1.2231
2021-12-16 00:00:00+00:00,-0.8128572,-1,-1,-1,0.07026674,-1,-0.7904317453503609,-1.0,0.0,3959.35,-9.22,0.0,-36505.21,80798.69,44293.48,0.0057,1.2301
2021-12-17 00:00:00+00:00,-0.9576746,1,-1,1,-0.673351,-1,-0.27183760205904645,0.0,1.0,3905.51,0.0,9.22,0.0,44789.89,44789.89,0.0112,1.2439
2021-12-18 00:00:00+00:00,-0.9572145,1,-1,-1,-0.48292333,-1,-0.5733563005924225,-1.0,-1.0,3990.43,-9.22,-9.22,-36791.76,81581.65,44789.89,0.0,1.2439
2021-12-19 00:00:00+00:00,-0.904382,-1,-1,-1,-0.7786137,-1,-0.9471659461657206,-1.0,0.0,3848.22,-9.22,0.0,-35480.59,81581.65,46101.06,0.0293,1.2803
2021-12-20 00:00:00+00:00,-0.9101508,1,-1,1,0.1679817,-1,-0.12369485447804134,0.0,1.0,4013.85,0.0,9.22,0.0,44573.95,44573.95,-0.0331,1.2379
2021-12-21 00:00:00+00:00,-0.7903227,-1,-1,1,-0.6408862,1,-0.23853481809298197,0.0,0.0,4035.81,0.0,0.0,0.0,44573.95,44573.95,0.0,1.2379
2021-12-22 00:00:00+00:00,-0.7516498,-1,-1,-1,-0.728785,-1,-0.9134057958920797,-1.0,-1.0,3947.06,-9.22,-9.22,-36391.89,80965.85,44573.96,0.0,1.2379
2021-12-23 00:00:00+00:00,-0.96598995,-1,1,-1,-0.6095721,-1,-0.5959270099798838,-1.0,0.0,4091.67,-9.22,0.0,-37725.2,80965.85,43240.65,-0.0299,1.2009
2021-12-24 00:00:00+00:00,-0.6657533,-1,-1,-1,-0.79292065,-1,-0.9097789923350016,-1.0,0.0,4048.75,-9.22,0.0,-37329.48,80965.85,43636.37,0.0092,1.212
2021-12-25 00:00:00+00:00,-0.57507986,-1,-1,1,-0.6906982,1,-0.21096301078796387,0.0,1.0,4030.48,0.0,9.22,0.0,43804.82,43804.82,0.0039,1.2167
2021-12-26 00:00:00+00:00,-0.9887556,-1,-1,1,-0.6139828,1,-0.2671230634053548,0.0,0.0,4064.75,0.0,0.0,0.0,43804.82,43804.82,0.0,1.2167
2021-12-27 00:00:00+00:00,-0.12461026,-1,-1,-1,-0.9795765,1,-0.517364464700222,-1.0,-1.0,3922.41,-9.22,-9.22,-36164.62,79969.44,43804.82,0.0,1.2167
2021-12-28 00:00:00+00:00,-0.66738516,-1,-1,-1,-0.63986385,-1,-0.8845415016015371,-1.0,0.0,3802.79,-9.22,0.0,-35061.72,79969.44,44907.72,0.0252,1.2474
2021-12-29 00:00:00+00:00,-0.9723396,1,-1,-1,-0.72271496,-1,-0.6158424218495687,-1.0,0.0,3674.02,-9.22,0.0,-33874.46,79969.44,46094.98,0.0264,1.2803
2021-12-30 00:00:00+00:00,-0.59652233,-1,-1,1,-0.5773465,1,-0.19564480582873026,0.0,1.0,3740.73,0.0,9.22,0.0,45479.91,45479.91,-0.0133,1.2633
2021-12-31 00:00:00+00:00,-0.8795107,-1,-1,-1,-0.55259925,-1,-0.9053516586621603,-1.0,-1.0,3735.04,-9.22,-9.22,-34437.07,79916.98000000001,45479.91,0.0,1.2633
2022-01-01 00:00:00+00:00,-0.8189246,1,-1,-1,-0.5339454,-1,-0.5588116645812988,-1.0,0.0,3744.87,-9.22,0.0,-34527.7,79916.98000000001,45389.28,-0.002,1.2607
2022-01-02 00:00:00+00:00,-0.9551872,-1,-1,-1,-0.49055353,-1,-0.9076234549283981,-1.0,0.0,3812.77,-9.22,0.0,-35153.74,79916.98000000001,44763.24,-0.0138,1.2433
2022-01-03 00:00:00+00:00,-0.80767214,-1,-1,-1,-0.39613354,-1,-0.8673009475072225,-1.0,0.0,3743.11,-9.22,0.0,-34511.47,79916.98000000001,45405.51,0.0143,1.2611
2022-01-04 00:00:00+00:00,-0.82340306,1,-1,1,-0.34097165,-1,-0.19406245152155557,0.0,1.0,3804.2,0.0,9.22,0.0,44842.26,44842.26,-0.0124,1.2455
2022-01-05 00:00:00+00:00,-0.21329223,-1,-1,1,-0.85017425,1,-0.17724441240231195,0.0,0.0,3456.82,0.0,0.0,0.0,44842.26,44842.26,0.0,1.2455
2022-01-06 00:00:00+00:00,-0.65325195,-1,-1,1,-0.40520853,1,-0.17641007900238037,0.0,0.0,3234.81,0.0,0.0,0.0,44842.26,44842.26,0.0,1.2455
2022-01-07 00:00:00+00:00,-0.6739026,-1,-1,1,-0.3189016,1,-0.16546736160914102,0.0,0.0,3215.35,0.0,0.0,0.0,44842.26,44842.26,0.0,1.2455
2022-01-08 00:00:00+00:00,-0.5294899,-1,-1,-1,-0.37324548,-1,-0.8171225587526957,-1.0,-1.0,3123.75,-9.22,-9.22,-28800.98,73643.23000000001,44842.25,-0.0,1.2455
2022-01-09 00:00:00+00:00,-0.27207562,-1,-1,1,-0.21253018,1,-0.08076763401428859,0.0,1.0,3174.21,0.0,9.22,0.0,44377.020000000004,44377.02,-0.0104,1.2325
2022-01-10 00:00:00+00:00,-0.035899207,-1,-1,-1,-0.29999706,1,-0.38931604474782944,-1.0,-1.0,3111.82,-9.22,-9.22,-28690.98,73068.0,44377.02,0.0,1.2325
2022-01-11 00:00:00+00:00,0.088101216,1,-1,1,0.04921362,1,0.3562191395709912,1.0,2.0,3231.02,9.22,18.44,29790.0,13487.990000000002,43277.99,-0.0248,1.202
2022-01-12 00:00:00+00:00,0.7246477,-1,1,1,0.030740209,1,0.45923131828506786,1.0,0.0,3338.69,9.22,0.0,30782.72,13487.990000000002,44270.71,0.0229,1.2295
2022-01-13 00:00:00+00:00,0.09099038,1,-1,1,0.26175562,1,0.39212433248758316,1.0,0.0,3306.41,9.22,0.0,30485.1,13487.990000000002,43973.09,-0.0067,1.2213
2022-01-14 00:00:00+00:00,-0.7039837,-1,1,-1,-0.45937264,1,-0.19389272729555765,0.0,-1.0,3309.38,0.0,-9.22,0.0,44000.47,44000.47,0.0006,1.222
2022-01-15 00:00:00+00:00,-0.11934795,-1,-1,-1,-0.13491486,-1,-0.7090438020726045,-1.0,-1.0,3309.28,-9.22,-9.22,-30511.56,74512.03,44000.47,0.0,1.222
2022-01-16 00:00:00+00:00,0.687746,-1,1,1,-0.8710957,1,0.3027750452359517,1.0,2.0,3267.83,9.22,18.44,30129.39,14253.25,44382.64,0.0087,1.2326
2022-01-17 00:00:00+00:00,0.4707063,-1,-1,-1,-0.40903994,-1,-0.6563889384269714,-1.0,-2.0,3175.19,-9.22,-18.44,-29275.25,72803.75,43528.5,-0.0192,1.209
2022-01-18 00:00:00+00:00,-0.8612069,1,-1,1,-0.57839483,1,0.0933997134367625,0.0,1.0,3107.33,0.0,9.22,0.0,44154.17,44154.17,0.0144,1.2264
2022-01-19 00:00:00+00:00,-0.66863,-1,-1,1,-0.12408584,1,-0.13211930791536966,0.0,0.0,3129.59,0.0,0.0,0.0,44154.17,44154.17,0.0,1.2264
2022-01-20 00:00:00+00:00,-0.060819894,-1,-1,1,-0.58290935,1,-0.10728820661703746,0.0,0.0,2859.95,0.0,0.0,0.0,44154.17,44154.17,0.0,1.2264
2022-01-21 00:00:00+00:00,0.76564795,1,1,1,-0.110436566,1,0.775868563602368,1.0,1.0,2497.66,9.22,9.22,23028.43,21125.739999999998,44154.17,0.0,1.2264
2022-01-22 00:00:00+00:00,0.4464364,1,1,1,-0.096475385,1,0.7249935033420721,1.0,0.0,2467.75,9.22,0.0,22752.66,21125.739999999998,43878.4,-0.0062,1.2188
2022-01-23 00:00:00+00:00,-0.15787734,1,1,1,-0.27566168,1,0.5944101636608442,1.0,0.0,2440.59,9.22,0.0,22502.24,21125.739999999998,43627.98,-0.0057,1.2118
2022-01-24 00:00:00+00:00,0.823701,1,1,1,-0.1584544,1,0.7775411034623781,1.0,0.0,2393.86,9.22,0.0,22071.39,21125.739999999998,43197.13,-0.0099,1.1998
2022-01-25 00:00:00+00:00,0.79191184,1,1,1,-0.08695539,1,0.7841594082613786,1.0,0.0,2477.82,9.22,0.0,22845.5,21125.739999999998,43971.24,0.0179,1.2213
2022-01-26 00:00:00+00:00,0.8837178,-1,1,1,-0.16658165,1,0.45285602162281674,1.0,0.0,2389.78,9.22,0.0,22033.77,21125.739999999998,43159.51,-0.0185,1.1987
2022-01-27 00:00:00+00:00,0.5098099,1,1,1,-0.11668594,1,0.732187328239282,1.0,0.0,2449.25,9.22,0.0,22582.09,21125.739999999998,43707.83,0.0127,1.2139
2022-01-28 00:00:00+00:00,0.71954924,1,1,1,0.07989986,1,0.7999081835150719,1.0,0.0,2535.38,9.22,0.0,23376.2,21125.739999999998,44501.94,0.0182,1.236
2022-01-29 00:00:00+00:00,0.7026232,1,1,-1,0.13162404,1,0.4723745385805766,1.0,0.0,2607.31,9.22,0.0,24039.4,21125.739999999998,45165.14,0.0149,1.2544
2022-01-30 00:00:00+00:00,0.7475807,1,1,1,-0.4285553,1,0.7198375662167867,1.0,0.0,2509.82,9.22,0.0,23140.54,21125.739999999998,44266.28,-0.0199,1.2295
2022-01-31 00:00:00+00:00,0.9975703,1,1,1,0.54722244,1,0.9241321186224619,1.0,0.0,2734.31,9.22,0.0,25210.34,21125.739999999998,46336.08,0.0468,1.287
2022-02-01 00:00:00+00:00,0.8274209,1,1,1,0.46577048,1,0.882198562224706,1.0,0.0,2764.79,9.22,0.0,25491.36,21125.739999999998,46617.1,0.0061,1.2949
2022-02-02 00:00:00+00:00,0.29606897,1,1,1,-0.5852864,1,0.6184637645880381,1.0,0.0,2656.8,9.22,0.0,24495.7,21125.739999999998,45621.44,-0.0214,1.2671
2022-02-03 00:00:00+00:00,0.7564424,1,1,1,-0.0011837671,1,0.7925431100884452,1.0,0.0,2771.99,9.22,0.0,25557.75,21125.739999999998,46683.49,0.0233,1.2967
2022-02-04 00:00:00+00:00,0.9902419,1,-1,-1,0.8952981,-1,-0.01907666524251302,0.0,-1.0,3027.24,0.0,-9.22,0.0,49036.9,49036.9,0.0504,1.362
2022-02-05 00:00:00+00:00,0.8627848,1,1,1,-0.3986843,1,0.7440167516469955,1.0,1.0,3022.17,9.22,9.22,27864.41,21172.489999999998,49036.9,0.0,1.362
2022-02-06 00:00:00+00:00,0.9055306,1,1,1,-0.5624452,1,0.7238475581010183,1.0,0.0,3094.99,9.22,0.0,28535.81,21172.489999999998,49708.3,0.0137,1.3807
2022-02-07 00:00:00+00:00,0.21267544,1,1,1,-0.3938372,1,0.636473037302494,1.0,0.0,3187.58,9.22,0.0,29389.49,21172.489999999998,50561.98,0.0172,1.4044
2022-02-08 00:00:00+00:00,0.08493588,1,1,1,-0.49626115,1,0.5981124552587668,1.0,0.0,3093.05,9.22,0.0,28517.92,21172.489999999998,49690.41,-0.0172,1.3803
2022-02-09 00:00:00+00:00,0.27666265,0,0,0,0.0,0,0.046110441287358604,0.0,-1.0,3177.66,0.0,-9.22,0.0,50470.51,50470.51,0.0157,1.4019
